id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
1201775,"Archer city, Florida",Florida,2004,observed,19,11.73,14,8.64,13,8.02
1201775,"Archer city, Florida",Florida,2005,observed,14,9.66,14,9.66,8,5.52
1201775,"Archer city, Florida",Florida,2006,observed,13,8.97,13,8.97,4,2.76
1201775,"Archer city, Florida",Florida,2007,observed,10,6.9,10,6.9,9,6.21
1201775,"Archer city, Florida",Florida,2008,observed,10,6.9,8,5.52,5,3.45
1201775,"Archer city, Florida",Florida,2009,observed,8,5.52,8,5.52,7,4.83
1201775,"Archer city, Florida",Florida,2010,observed,7,4.38,4,2.5,2,1.25
1201775,"Archer city, Florida",Florida,2011,observed,16,8.94,13,7.26,10,5.59
1201775,"Archer city, Florida",Florida,2012,observed,14,7.82,11,6.15,5,2.79
1201775,"Archer city, Florida",Florida,2013,observed,11,6.15,11,6.15,7,3.91
1201775,"Archer city, Florida",Florida,2014,observed,11,6.15,10,5.59,7,3.91
1201775,"Archer city, Florida",Florida,2015,observed,9,5.03,9,5.03,7,3.91
1201775,"Archer city, Florida",Florida,2016,observed,14,7.18,12,6.15,2,1.03
1201775,"Archer city, Florida",Florida,2017,observed,11,5.64,10,5.13,9,4.62
1201775,"Archer city, Florida",Florida,2018,observed,5,2.56,5,2.56,4,2.05
1201875,"Aripeka CDP, Florida",Florida,2000,observed,,,,,,
1201875,"Aripeka CDP, Florida",Florida,2001,observed,8,,7,,1,
1201875,"Aripeka CDP, Florida",Florida,2002,observed,2,,1,,0,
1201875,"Aripeka CDP, Florida",Florida,2003,observed,3,,3,,0,
1201875,"Aripeka CDP, Florida",Florida,2004,observed,3,,3,,1,
1201875,"Aripeka CDP, Florida",Florida,2005,observed,4,,4,,2,
1201875,"Aripeka CDP, Florida",Florida,2006,observed,1,,1,,1,
1201875,"Aripeka CDP, Florida",Florida,2007,observed,,,,,,
1201875,"Aripeka CDP, Florida",Florida,2008,observed,4,,4,,0,
1201875,"Aripeka CDP, Florida",Florida,2009,observed,1,,1,,0,
1201875,"Aripeka CDP, Florida",Florida,2010,observed,,,,,,
1201875,"Aripeka CDP, Florida",Florida,2011,observed,1,5.56,1,5.56,1,5.56
1201875,"Aripeka CDP, Florida",Florida,2012,observed,4,22.22,4,22.22,1,5.56
1201875,"Aripeka CDP, Florida",Florida,2013,observed,,,,,,
